#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-27T16:24:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e57ecdb58ba	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/140/34&tab:{J/AJ/140/34/table3}&key:source=J/AJ/140/34/table1&HTTPPRM:&&-ref=VIZ5e57ecdb58ba&-out.max=50&-out.form=Detailed results&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Nova&-out=Year&-out=T0&-out=Tpeak&-out=Vpeak&-out=t2&-out=t3&-out=t6&-out=t9&-out=l_VQ&-out=VQ&-out=tQ&-out=n_tQ&-out=Class&-out=lc&-ignore=lc=*&lc=lc&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/140/34/table1&
#-source= J/AJ/140/34/table3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out=Nova
#-out=Year
#-out=T0
#-out=Tpeak
#-out=Vpeak
#-out=t2
#-out=t3
#-out=t6
#-out=t9
#-out=l_VQ
#-out=VQ
#-out=tQ
#-out=n_tQ
#-out=Class
#-out=lc
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#-out.src=J/AJ/140/34/table1
#-source=J/AJ/140/34
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_51400034
#Name: J/AJ/140/34
#Title: Classification of nova light curves (Strope+, 2010)
#Table	J_AJ_140_34_table3:
#Name: J/AJ/140/34/table3
#Title: Definitions and examples of light curve classes
#Column	Class	(A1)	[SPDCOFJ] Class code	[ucd=meta.code.class]
#Column	Def	(a102)	Definition	[ucd=meta.note]
#Column	Ex	(a31)	Examples	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
Class|Def|Ex|Simbad
 | | |
-|------------------------------------------------------------------------------------------------------|-------------------------------|------
S|Smooth; power-law decline with no major fluctuations                                                  |CP Lac, V1668 Cyg, V2275 Cyg   |Simbad
P|Plateau; smooth decline interrupted by a long-lasting nearly flat interval followed by steeper decline|V4633 Sgr, CP Pup, RS Oph      |Simbad
D|Dust dip; decline interrupted by fast decline, minimum, and recovery to just below original decline   |DQ Her, FH Ser, V705 Cas       |Simbad
C|Cusp; power-law decline plus secondary maximum with steepening rise then steep decline                |V2362 Cyg, V1493 Aql, V2491 Cyg|Simbad
O|Oscillations; smooth decline with interval showing quasi-sinusoidal variations                        |V603 Aql, GK Per, V1494 Aql    |Simbad
F|Flat topped; smooth light curve with an extended interval at the peak with near constant brightness   |DO Aql, V849 Oph, BT Mon       |Simbad
J|Jitter; decline displays substantial variability often as short-duration brightenings                 |DK Lac, HR Del, V723 Cas       |Simbad

#Table	J_AJ_140_34_table1:
#Name: J/AJ/140/34/table1
#Title: Catalogued novae and their primary light curve properties
#Column	Nova	(A9)	Nova name	[ucd=meta.id;meta.main]
#Column	Year	(I4)	Year of discovery	[ucd=time.epoch]
#Column	T0	(I7)	Fiducial time (JD)	[ucd=time.epoch]
#Column	Tpeak	(I7)	Peak time (JD)	[ucd=time.epoch]
#Column	Vpeak	(F4.1)	Peak magnitude	[ucd=phot.mag;em.opt.V]
#Column	t2	(I3)	Time to decline by 2mag from maximum	[ucd=time.interval]
#Column	t3	(I3)	Time to decline by 3mag from maximum	[ucd=time.interval]
#Column	t6	(I4)	? Time to decline by 6mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	t9	(I4)	? Time to decline by 9mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	l_VQ	(A1)	[~>] Limit flag on VQ	[ucd=meta.code.error]
#Column	VQ	(F4.1)	Magnitude in quiescence	[ucd=phot.mag;em.opt.V]
#Column	tQ	(I5)	? Time of quiescence [NULL integer written as an empty string]	[ucd=time.interval]
#Column	n_tQ	(A1)	[a] bright quiescence (1)	[ucd=meta.note]
#Column	Class	(A6)	Class (2)	[ucd=meta.code;src.var]
#Column	lc	(A2)	light curve	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Nova|Year|T0|Tpeak|Vpeak|t2|t3|t6|t9|l_VQ|VQ|tQ|n_tQ|Class|lc|Simbad|_RA|_DE
BY Cir   |2450454.000|  708.00|13.80| 0.01|   3
BY Cir   |2450462.000|  716.00|13.80| 0.11|   2
BY Cir   |2450478.000|  732.00|14.00| 0.15|   1
BY Cir   |2450486.000|  740.00|13.93| 0.09|   3
BY Cir   |2450494.000|  748.00|13.96| 0.07|   5
BY Cir   |2450510.000|  764.00|13.90| 0.15|   1
BY Cir   |2450518.000|  772.00|14.00| 0.11|   2
BY Cir   |2450526.000|  780.00|14.00| 0.09|   3
BY Cir   |2450534.000|  788.00|13.90| 0.15|   1
BY Cir   |2450542.000|  796.00|14.10| 0.11|   2
BY Cir   |2450550.000|  804.00|14.00| 0.11|   2
BY Cir   |2450566.000|  820.00|14.20| 0.15|   1
BY Cir   |2450574.000|  828.00|14.20| 0.15|   1
BY Cir   |2450598.000|  852.00|14.40| 0.14|   2
BY Cir   |2450606.000|  860.00|14.50| 0.15|   1
BY Cir   |2450630.000|  884.00|14.75| 0.11|   2
BY Cir   |2450638.000|  892.00|14.40| 0.15|   1
BY Cir   |2450654.000|  908.00|14.60| 0.15|   1
BY Cir   |2450662.000|  916.00|14.90| 0.09|   3
BY Cir   |2450686.000|  940.00|14.95| 0.11|   2
BY Cir   |2450694.000|  948.00|15.00| 0.15|   1
BY Cir   |2450710.000|  964.00|15.10| 0.15|   1
BY Cir   |2450718.000|  972.00|15.00| 0.15|   1
BY Cir   |2450726.000|  980.00|15.10| 0.15|   1
DD Cir   |2451411.750|    0.75| 8.50| 0.15|   1
DD Cir   |2451414.250|    3.25| 7.79| 0.02|  10
DD Cir   |2451414.750|    3.75| 7.64| 0.06|  22
DD Cir   |2451415.250|    4.25| 8.55| 0.10|   8
DD Cir   |2451415.750|    4.75| 7.82| 0.06|  16
DD Cir   |2451416.250|    5.25| 8.48| 0.08|  15
DD Cir   |2451416.750|    5.75| 9.00| 0.15|   1
DD Cir   |2451417.250|    6.25| 8.90| 0.12|   6
DD Cir   |2451417.750|    6.75| 9.20| 0.15|   1
DD Cir   |2451418.250|    7.25| 9.41| 0.05|   9
DD Cir   |2451418.750|    7.75| 9.33| 0.09|   3
DD Cir   |2451419.250|    8.25| 9.28| 0.05|   8
DD Cir   |2451419.750|    8.75| 9.76| 0.07|   5
DD Cir   |2451420.250|    9.25| 9.70| 0.07|   5
DD Cir   |2451420.750|    9.75| 9.85| 0.08|   4
DD Cir   |2451421.250|   10.25| 9.69| 0.05|   9
DD Cir   |2451421.750|   10.75| 9.77| 0.09|   3
DD Cir   |2451422.250|   11.25| 9.68| 0.07|   5
DD Cir   |2451422.750|   11.75| 9.80| 0.09|   3
DD Cir   |2451423.250|   12.25|10.03| 0.09|   3
DD Cir   |2451423.750|   12.75|10.00| 0.09|   3
DD Cir   |2451424.250|   13.25|10.16| 0.07|   5
DD Cir   |2451424.750|   13.75|10.13| 0.09|   3
DD Cir   |2451425.250|   14.25|10.20| 0.05|   9
DD Cir   |2451425.750|   14.75|10.20| 0.15|   1
DD Cir   |2451426.250|   15.25|10.37| 0.09|   3
DD Cir   |2451427.250|   16.25|10.28| 0.09|   4
DD Cir   |2451427.750|   16.75|10.45| 0.11|   2
DD Cir   |2451428.250|   17.25|10.20| 0.15|   1
DD Cir   |2451428.750|   17.75|10.40| 0.15|   1
DD Cir   |2451429.250|   18.25|10.70| 0.15|   1
DD Cir   |2451429.750|   18.75|10.70| 0.15|   1
DD Cir   |2451430.250|   19.25|10.80| 0.11|   2
DD Cir   |2451430.750|   19.75|10.60| 0.09|   3
DD Cir   |2451431.250|   20.25|10.82| 0.06|   6
DD Cir   |2451431.750|   20.75|10.85| 0.11|   2
DD Cir   |2451432.250|   21.25|10.90| 0.15|   1
DD Cir   |2451433.250|   22.25|11.00| 0.11|   2
DD Cir   |2451433.750|   22.75|11.00| 0.15|   1
DD Cir   |2451434.250|   23.25|11.08| 0.11|   4
DD Cir   |2451434.750|   23.75|10.70| 0.21|   2
DD Cir   |2451435.250|   24.25|11.27| 0.09|   3
DD Cir   |2451435.750|   24.75|11.30| 0.15|   1
DD Cir   |2451436.250|   25.25|11.28| 0.12|   4
DD Cir   |2451436.750|   25.75|11.30| 0.15|   1
DD Cir   |2451437.250|   26.25|11.45| 0.08|   4
DD Cir   |2451437.750|   26.75|11.50| 0.15|   1
DD Cir   |2451438.250|   27.25|11.63| 0.09|   3
DD Cir   |2451438.750|   27.75|11.65| 0.11|   2
DD Cir   |2451440.250|   29.25|11.70| 0.09|   3
DD Cir   |2451440.750|   29.75|11.80| 0.15|   1
DD Cir   |2451441.750|   30.75|11.80| 0.11|   2
DD Cir   |2451443.750|   32.75|11.70| 0.15|   1
DD Cir   |2451446.250|   35.25|11.80| 0.11|   2
DD Cir   |2451447.750|   36.75|11.80| 0.15|   1
DD Cir   |2451448.750|   37.75|11.75| 0.18|   2
DD Cir   |2451449.250|   38.25|11.77| 0.11|   3
DD Cir   |2451449.750|   38.75|11.47| 0.22|   3
DD Cir   |2451450.750|   39.75|11.70| 0.21|   2
DD Cir   |2451451.250|   40.25|11.40| 0.15|   1
DD Cir   |2451451.750|   40.75|11.20| 0.15|   1
DD Cir   |2451452.750|   41.75|12.40| 0.15|   1
DD Cir   |2451453.250|   42.25|11.90| 0.11|   2
DD Cir   |2451453.750|   42.75|12.00| 0.28|   2
DD Cir   |2451456.250|   45.25|11.80| 0.02|   3
DD Cir   |2451457.750|   46.75|12.00| 0.15|   1
DD Cir   |2451458.250|   47.25|11.80| 0.11|   2
DD Cir   |2451458.750|   47.75|11.80| 0.14|   2
DD Cir   |2451459.750|   48.75|12.40| 0.15|   1
DD Cir   |2451460.250|   49.25|11.90| 0.11|   2
DD Cir   |2451460.750|   49.75|11.50| 0.15|   1
DD Cir   |2451463.750|   52.75|11.70| 0.21|   2
DD Cir   |2451465.250|   54.25|12.00| 0.11|   2
DD Cir   |2451465.750|   54.75|12.40| 0.15|   1
DD Cir   |2451490.500|   79.50|13.10| 0.15|   1
V693 CrA |2444697.500|    0.50| 7.00| 0.15|   1
V693 CrA |2444701.500|    4.50| 7.40| 0.15|   1
V693 CrA |2444702.500|    5.50| 7.40| 0.15|   1
V693 CrA |2444705.500|    8.50| 8.95| 0.11|   2
V693 CrA |2444707.000|   10.00| 8.57| 0.24|   3
V693 CrA |2444709.000|   12.00| 9.18| 0.17|   5
V693 CrA |2444711.000|   14.00| 9.43| 0.09|   3
V693 CrA |2444713.000|   16.00| 8.90| 0.15|   1
V693 CrA |2444715.000|   18.00| 9.90| 0.15|   1
V693 CrA |2444722.000|   25.00|10.55| 0.11|   2
V693 CrA |2444726.000|   29.00|10.55| 0.11|   4
V693 CrA |2444730.000|   33.00|11.07| 0.19|   3
V693 CrA |2444734.000|   37.00|10.50| 0.14|   2
V693 CrA |2444738.000|   41.00|11.00| 0.15|   1
V693 CrA |2444754.000|   57.00|12.00| 0.15|   1
V693 CrA |2444762.000|   65.00|12.00| 0.15|   1
V693 CrA |2444766.000|   69.00|11.50| 0.15|   1
V693 CrA |2444822.000|  125.00|12.50| 0.15|   1
T CrB    |2431861.500|    1.50| 3.50| 0.17|   4
T CrB    |2431862.500|    2.50| 3.61| 0.07|   9
T CrB    |2431863.500|    3.50| 4.21| 0.08|  16
T CrB    |2431864.500|    4.50| 4.63| 0.10|   3
T CrB    |2431865.500|    5.50| 5.23| 0.14|   3
T CrB    |2431866.500|    6.50| 5.68| 0.08|   6
T CrB    |2431867.500|    7.50| 6.01| 0.06|   7
T CrB    |2431868.500|    8.50| 6.25| 0.08|   4
T CrB    |2431869.500|    9.50| 6.93| 0.18|   4
T CrB    |2431870.500|   10.50| 7.35| 0.20|   4
T CrB    |2431871.500|   11.50| 7.30| 0.35|   2
T CrB    |2431872.500|   12.50| 8.00| 0.09|   3
T CrB    |2431873.500|   13.50| 8.15| 0.11|   4
T CrB    |2431876.000|   16.00| 8.68| 0.10|   6
T CrB    |2431878.000|   18.00| 8.80| 0.08|   4
T CrB    |2431880.000|   20.00| 8.99| 0.10|   7
T CrB    |2431882.000|   22.00| 9.19| 0.10|   9
T CrB    |2431884.000|   24.00| 9.32| 0.10|   6
T CrB    |2431886.000|   26.00| 9.33| 0.09|   3
T CrB    |2431888.000|   28.00| 9.53| 0.11|   4
T CrB    |2431890.000|   30.00| 9.72| 0.06|   6
T CrB    |2431892.000|   32.00| 9.77| 0.09|   3
T CrB    |2431894.000|   34.00| 9.73| 0.09|   3
T CrB    |2431896.000|   36.00| 9.75| 0.11|   2
T CrB    |2431898.000|   38.00| 9.70| 0.09|   3
T CrB    |2431900.000|   40.00| 9.45| 0.13|   4
T CrB    |2431902.000|   42.00| 9.68| 0.08|   4
T CrB    |2431904.000|   44.00| 9.90| 0.11|   2
T CrB    |2431906.000|   46.00| 9.60| 0.15|   1
T CrB    |2431908.000|   48.00| 9.57| 0.09|   6
T CrB    |2431910.000|   50.00| 9.75| 0.06|   6
T CrB    |2431912.000|   52.00| 9.68| 0.06|   6
T CrB    |2431914.000|   54.00| 9.90| 0.09|   3
T CrB    |2431916.000|   56.00| 9.90| 0.15|   1
T CrB    |2431918.000|   58.00| 9.71| 0.09|   7
T CrB    |2431920.000|   60.00| 9.80| 0.09|   3
T CrB    |2431922.000|   62.00| 9.74| 0.07|   5
T CrB    |2431924.000|   64.00| 9.70| 0.11|   2
T CrB    |2431927.000|   67.00| 9.76| 0.07|   5
T CrB    |2431931.000|   71.00| 9.85| 0.04|  14
T CrB    |2431935.000|   75.00| 9.90| 0.04|  11
T CrB    |2431939.000|   79.00| 9.94| 0.04|  16
T CrB    |2431943.000|   83.00| 9.82| 0.04|  13
T CrB    |2431947.000|   87.00| 9.85| 0.06|  11
T CrB    |2431951.000|   91.00| 9.80| 0.04|  15
T CrB    |2431955.000|   95.00| 9.90| 0.11|   2
T CrB    |2431959.000|   99.00| 9.73| 0.06|   6
T CrB    |2431963.000|  103.00| 9.75| 0.04|  20
T CrB    |2431967.000|  107.00| 9.76| 0.08|  10
T CrB    |2431971.000|  111.00| 9.51| 0.09|  12
T CrB    |2431975.000|  115.00| 8.71| 0.10|  11
T CrB    |2431979.000|  119.00| 8.46| 0.04|  16
T CrB    |2431983.000|  123.00| 8.48| 0.05|  12
T CrB    |2431987.000|  127.00| 8.30| 0.07|  10
T CrB    |2431991.000|  131.00| 8.40| 0.09|  13
T CrB    |2431995.000|  135.00| 8.36| 0.05|  27
T CrB    |2431999.000|  139.00| 8.33| 0.06|  17
T CrB    |2432003.000|  143.00| 8.09| 0.03|  26
T CrB    |2432007.000|  147.00| 8.09| 0.04|  15
T CrB    |2432011.000|  151.00| 8.22| 0.08|   9
T CrB    |2432015.000|  155.00| 8.13| 0.05|   9
T CrB    |2432019.000|  159.00| 8.01| 0.03|  25
T CrB    |2432023.000|  163.00| 8.04| 0.03|  17
T CrB    |2432027.000|  167.00| 8.11| 0.04|  25
T CrB    |2432031.000|  171.00| 8.16| 0.04|  25
T CrB    |2432035.000|  175.00| 8.10| 0.05|  10
T CrB    |2432039.000|  179.00| 8.07| 0.06|  15
T CrB    |2432043.000|  183.00| 8.47| 0.07|   7
T CrB    |2432047.000|  187.00| 8.18| 0.06|  12
T CrB    |2432051.000|  191.00| 8.16| 0.06|  19
T CrB    |2432055.000|  195.00| 8.35| 0.05|  12
T CrB    |2432059.000|  199.00| 8.70| 0.03|  19
T CrB    |2432063.000|  203.00| 8.67| 0.06|  18
T CrB    |2432067.000|  207.00| 8.81| 0.03|  26
T CrB    |2432071.000|  211.00| 9.33| 0.07|  12
T CrB    |2432075.000|  215.00| 9.15| 0.09|   4
T CrB    |2432079.000|  219.00| 9.32| 0.06|  15
T CrB    |2432083.000|  223.00| 9.47| 0.04|  19
T CrB    |2432087.000|  227.00| 9.36| 0.07|   8
T CrB    |2432091.000|  231.00| 9.50| 0.03|  24
T CrB    |2432095.000|  235.00| 9.48| 0.05|   9
T CrB    |2432099.000|  239.00| 9.50| 0.07|  11
T CrB    |2432109.000|  249.00| 9.41| 0.08|  21
T CrB    |2432125.000|  265.00| 9.45| 0.06|  15
T CrB    |2432141.000|  281.00| 9.53| 0.04|  24
T CrB    |2432157.000|  297.00| 9.40| 0.15|   1
T CrB    |2432173.000|  313.00| 9.58| 0.05|   8
T CrB    |2432189.000|  329.00| 9.63| 0.08|   4
T CrB    |2432205.000|  345.00| 9.75| 0.11|   2
T CrB    |2432221.000|  361.00| 9.60| 0.09|   3
T CrB    |2432237.000|  377.00| 9.57| 0.09|   3
T CrB    |2432253.000|  393.00| 9.73| 0.09|   3
T CrB    |2432269.000|  409.00| 9.77| 0.05|   9
T CrB    |2432285.000|  425.00| 9.80| 0.04|  10
T CrB    |2432301.000|  441.00| 9.81| 0.03|  21
T CrB    |2432317.000|  457.00| 9.77| 0.03|  21
T CrB    |2432333.000|  473.00| 9.86| 0.03|  20
T CrB    |2432349.000|  489.00| 9.86| 0.03|  27
T CrB    |2432365.000|  505.00| 9.81| 0.03|  26
T CrB    |2432381.000|  521.00| 9.81| 0.03|  33
T CrB    |2432397.000|  537.00| 9.80| 0.02|  36
V476 Cyg |2422559.250|    0.25| 2.70| 0.09|   3
V476 Cyg |2422559.750|    0.75| 2.38| 0.08|   4
V476 Cyg |2422560.250|    1.25| 1.94| 0.08|   5
V476 Cyg |2422560.750|    1.75| 1.98| 0.04|  19
V476 Cyg |2422561.250|    2.25| 2.03| 0.08|   9
V476 Cyg |2422561.750|    2.75| 2.10| 0.02|  26
V476 Cyg |2422562.250|    3.25| 2.07| 0.06|  12
V476 Cyg |2422562.750|    3.75| 2.51| 0.04|  22
V476 Cyg |2422563.250|    4.25| 2.71| 0.07|   7
V476 Cyg |2422563.750|    4.75| 2.95| 0.04|  19
V476 Cyg |2422564.250|    5.25| 3.11| 0.10|   8
V476 Cyg |2422564.750|    5.75| 3.29| 0.04|  14
V476 Cyg |2422565.500|    6.50| 3.38| 0.06|  32
V476 Cyg |2422566.500|    7.50| 3.70| 0.05|  32
V476 Cyg |2422567.500|    8.50| 4.00| 0.04|  39
V476 Cyg |2422568.500|    9.50| 4.10| 0.04|  31
V476 Cyg |2422569.500|   10.50| 4.20| 0.03|  32
V476 Cyg |2422570.500|   11.50| 4.36| 0.02|  33
V476 Cyg |2422571.500|   12.50| 4.54| 0.03|  25
V476 Cyg |2422572.500|   13.50| 4.56| 0.05|  13
V476 Cyg |2422573.500|   14.50| 4.56| 0.06|  19
V476 Cyg |2422574.500|   15.50| 4.77| 0.04|  19
V476 Cyg |2422575.500|   16.50| 4.83| 0.04|  22
V476 Cyg |2422576.500|   17.50| 4.88| 0.06|  14
V476 Cyg |2422577.500|   18.50| 5.03| 0.06|  10
V476 Cyg |2422578.500|   19.50| 5.25| 0.04|  18
V476 Cyg |2422579.500|   20.50| 5.23| 0.05|  27
V476 Cyg |2422581.000|   22.00| 5.43| 0.04|  39
V476 Cyg |2422583.000|   24.00| 5.70| 0.04|  32
V476 Cyg |2422585.000|   26.00| 5.81| 0.04|  40
V476 Cyg |2422587.000|   28.00| 6.10| 0.05|  24
V476 Cyg |2422589.000|   30.00| 6.30| 0.07|  20
V476 Cyg |2422591.000|   32.00| 6.41| 0.08|   8
V476 Cyg |2422593.000|   34.00| 6.88| 0.10|   9
V476 Cyg |2422595.000|   36.00| 7.23| 0.09|   3
V476 Cyg |2422597.000|   38.00| 7.08| 0.07|  11
V476 Cyg |2422599.000|   40.00| 7.16| 0.18|   5
V476 Cyg |2422601.000|   42.00| 7.33| 0.17|   8
V476 Cyg |2422603.000|   44.00| 7.92| 0.13|  13
V476 Cyg |2422605.000|   46.00| 8.20| 0.11|   8
V476 Cyg |2422607.000|   48.00| 8.35| 0.06|  12
V476 Cyg |2422609.000|   50.00| 8.47| 0.06|  15
V476 Cyg |2422611.000|   52.00| 8.59| 0.09|  12
V476 Cyg |2422613.000|   54.00| 8.64| 0.06|  17
V476 Cyg |2422615.000|   56.00| 8.70| 0.05|   9
V476 Cyg |2422617.000|   58.00| 8.72| 0.10|   5
V476 Cyg |2422619.000|   60.00| 8.67| 0.05|  13
V476 Cyg |2422621.000|   62.00| 8.86| 0.06|  18
V476 Cyg |2422623.000|   64.00| 8.82| 0.09|   6
V476 Cyg |2422625.000|   66.00| 9.25| 0.08|   4
V476 Cyg |2422627.000|   68.00| 9.04| 0.07|  12
V476 Cyg |2422629.000|   70.00| 8.95| 0.10|   6
V476 Cyg |2422631.000|   72.00| 8.93| 0.11|   7
V476 Cyg |2422633.000|   74.00| 9.06| 0.05|  10
V476 Cyg |2422635.000|   76.00| 9.16| 0.11|   8
V476 Cyg |2422637.000|   78.00| 9.13| 0.13|   8
V476 Cyg |2422639.000|   80.00| 9.14| 0.18|   5
V476 Cyg |2422641.000|   82.00| 9.24| 0.09|  11
V476 Cyg |2422643.000|   84.00| 9.35| 0.06|  17
V476 Cyg |2422645.000|   86.00| 9.43| 0.18|   4
V476 Cyg |2422647.000|   88.00| 9.05| 0.13|   6
V476 Cyg |2422649.000|   90.00| 9.08| 0.17|   5
V476 Cyg |2422651.000|   92.00| 9.17| 0.14|   3
V476 Cyg |2422653.000|   94.00| 9.14| 0.12|   5
V476 Cyg |2422655.000|   96.00| 9.20| 0.19|   3
V476 Cyg |2422657.000|   98.00| 8.67| 0.10|   3
V476 Cyg |2422659.000|  100.00| 9.07| 0.15|   3
V476 Cyg |2422664.000|  105.00| 8.87| 0.07|  19
V476 Cyg |2422672.000|  113.00| 8.78| 0.08|  13
V476 Cyg |2422680.000|  121.00| 9.03| 0.15|   7
V476 Cyg |2422688.000|  129.00| 8.67| 0.06|   6
V476 Cyg |2422696.000|  137.00| 8.87| 0.09|  10
V476 Cyg |2422704.000|  145.00| 8.94| 0.17|   7
V476 Cyg |2422712.000|  153.00| 8.73| 0.09|   3
V476 Cyg |2422720.000|  161.00| 8.87| 0.07|  10
V476 Cyg |2422728.000|  169.00| 8.79| 0.06|   7
V476 Cyg |2422736.000|  177.00| 9.28| 0.10|   8
V476 Cyg |2422744.000|  185.00| 9.15| 0.46|   2
V476 Cyg |2422752.000|  193.00| 9.00| 0.21|   2
V476 Cyg |2422760.000|  201.00| 9.29| 0.11|   7
V476 Cyg |2422768.000|  209.00| 9.45| 0.15|   6
V476 Cyg |2422776.000|  217.00| 9.60| 0.14|   2
V476 Cyg |2422784.000|  225.00| 9.53| 0.08|   7
V476 Cyg |2422792.000|  233.00| 9.27| 0.20|   3
V476 Cyg |2422800.000|  241.00| 9.50| 0.11|   2
V476 Cyg |2422808.000|  249.00| 9.53| 0.20|   4
V476 Cyg |2422816.000|  257.00| 9.54| 0.11|   5
V476 Cyg |2422824.000|  265.00| 9.47| 0.09|   3
V476 Cyg |2422832.000|  273.00| 9.55| 0.25|   2
V476 Cyg |2422840.000|  281.00| 9.40| 0.08|   4
V476 Cyg |2422848.000|  289.00| 9.40| 0.19|   7
V476 Cyg |2422856.000|  297.00| 9.60| 0.21|   3
V476 Cyg |2422864.000|  305.00| 9.30| 0.09|   5
V476 Cyg |2422872.000|  313.00| 9.57| 0.13|   7
V476 Cyg |2422880.000|  321.00| 9.73| 0.11|   6
V476 Cyg |2422888.000|  329.00| 9.50| 0.11|   2
V476 Cyg |2422896.000|  337.00| 9.80| 0.11|   6
V476 Cyg |2422908.000|  349.00| 9.67| 0.05|  12
V476 Cyg |2422924.000|  365.00| 9.63| 0.07|  10
V476 Cyg |2422940.000|  381.00| 9.74| 0.07|   8
V476 Cyg |2422956.000|  397.00| 9.73| 0.05|  17
V476 Cyg |2422972.000|  413.00| 9.64| 0.08|   7
V476 Cyg |2422988.000|  429.00| 9.61| 0.04|  13
V476 Cyg |2423004.000|  445.00| 9.80| 0.10|   6
V476 Cyg |2423020.000|  461.00| 9.78| 0.07|   9
V476 Cyg |2423036.000|  477.00|10.01| 0.11|  16
V476 Cyg |2423052.000|  493.00| 9.76| 0.06|   8
V476 Cyg |2423068.000|  509.00| 9.87| 0.12|   7
V476 Cyg |2423084.000|  525.00| 9.65| 0.08|   6
V476 Cyg |2423100.000|  541.00| 9.80| 0.11|   2
V476 Cyg |2423116.000|  557.00| 9.87| 0.07|   7
V476 Cyg |2423132.000|  573.00| 9.65| 0.11|   2
V476 Cyg |2423148.000|  589.00| 9.90| 0.11|   2
V476 Cyg |2423164.000|  605.00| 9.97| 0.06|   6
V476 Cyg |2423180.000|  621.00|10.22| 0.12|   9
V476 Cyg |2423196.000|  637.00|10.20| 0.09|   7
V476 Cyg |2423212.000|  653.00|10.29| 0.09|   8
V476 Cyg |2423228.000|  669.00|10.44| 0.12|   8
V476 Cyg |2423244.000|  685.00|10.23| 0.10|   4
V476 Cyg |2423260.000|  701.00|10.39| 0.13|   9
V476 Cyg |2423276.000|  717.00|10.33| 0.09|   7
V476 Cyg |2423292.000|  733.00|10.60| 0.09|  10
V476 Cyg |2423316.000|  757.00|10.66| 0.08|  18
V476 Cyg |2423348.000|  789.00|10.72| 0.06|  19
V476 Cyg |2423380.000|  821.00|10.64| 0.06|  17
V476 Cyg |2423412.000|  853.00|10.74| 0.07|   9
V476 Cyg |2423444.000|  885.00|10.59| 0.06|   9
V476 Cyg |2423476.000|  917.00|10.81| 0.06|   7
V476 Cyg |2423508.000|  949.00|10.96| 0.07|   7
V476 Cyg |2423540.000|  981.00|10.93| 0.03|  16
V476 Cyg |2423572.000| 1013.00|10.84| 0.05|   8
V476 Cyg |2423604.000| 1045.00|10.85| 0.05|  14
V476 Cyg |2423636.000| 1077.00|10.94| 0.09|  10
V476 Cyg |2423668.000| 1109.00|10.96| 0.05|  12
V476 Cyg |2423700.000| 1141.00|11.04| 0.07|  10
V476 Cyg |2423732.000| 1173.00|11.25| 0.12|  12
V476 Cyg |2423764.000| 1205.00|11.23| 0.09|  14
V476 Cyg |2423796.000| 1237.00|11.36| 0.04|  10
V476 Cyg |2423828.000| 1269.00|11.56| 0.08|   5
V476 Cyg |2423860.000| 1301.00|11.40| 0.16|   3
V476 Cyg |2423892.000| 1333.00|11.28| 0.08|   5
V476 Cyg |2423924.000| 1365.00|11.31| 0.09|   9
V476 Cyg |2423956.000| 1397.00|11.35| 0.10|  12
V476 Cyg |2423988.000| 1429.00|11.43| 0.07|  12
V476 Cyg |2424020.000| 1461.00|11.83| 0.07|  12
V476 Cyg |2424052.000| 1493.00|11.97| 0.06|   9
V476 Cyg |2424084.000| 1525.00|12.08| 0.05|  14
V476 Cyg |2424116.000| 1557.00|12.04| 0.04|  13
V476 Cyg |2424148.000| 1589.00|12.18| 0.07|   6
V476 Cyg |2424180.000| 1621.00|12.20| 0.07|   5
V476 Cyg |2424212.000| 1653.00|12.27| 0.09|   3
V476 Cyg |2424244.000| 1685.00|12.33| 0.06|   6
V476 Cyg |2424276.000| 1717.00|12.41| 0.05|   8
V476 Cyg |2424308.000| 1749.00|12.55| 0.06|   6
V476 Cyg |2424356.000| 1797.00|12.63| 0.04|  12
